variable,description,start,end,length,decimals,type
M6254,MARCA DE IMPUTAÇÃO NA V6254 1- Sim,460,460,1,,C
M6256,MARCA DE IMPUTAÇÃO NA V6256 1- Sim 2- Não,461,461,1,,C
M0626,MARCA DE IMPUTAÇÃO NA V0626 1- Sim 2- Não,462,462,1,,C
M6262,MARCA DE IMPUTAÇÃO NA V6262 1- Sim 2- Não,463,463,1,,C
M6264,MARCA DE IMPUTAÇÃO NA V6264 1- Sim 2- Não,464,464,1,,C
M6266,MARCA DE IMPUTAÇÃO NA V6266 1- Sim 2- Não,465,465,1,,C
M0627,MARCA DE IMPUTAÇÃO NA V0627 1- Sim 2- Não,466,466,1,,C
M0628,MARCA DE IMPUTAÇÃO NA V0628 1- Sim 2- Não,467,467,1,,C
M0629,MARCA DE IMPUTAÇÃO NA V0629 1- Sim 2- Não,468,468,1,,C
M0630,MARCA DE IMPUTAÇÃO NA V0630 1- Sim 2- Não,469,469,1,,C
M0631,MARCA DE IMPUTAÇÃO NA V0631 1- Sim 2- Não,470,470,1,,C
M0632,MARCA DE IMPUTAÇÃO NA V0632 1- Sim 2- Não,471,471,1,,C
M0633,MARCA DE IMPUTAÇÃO NA V0633 1- Sim 2- Não,472,472,1,,C
M0634,MARCA DE IMPUTAÇÃO NA V0634 1- Sim 2- Não,473,473,1,,C
M0635,MARCA DE IMPUTAÇÃO NA V0635 1- Sim 2- Não,474,474,1,,C
M6352,MARCA DE IMPUTAÇÃO NA V6352 1- Sim 2- Não,475,475,1,,C
M6354,MARCA DE IMPUTAÇÃO NA V6354 1- Sim 2- Não,476,476,1,,C
M6356,MARCA DE IMPUTAÇÃO NA V6356 1- Sim 2- Não,477,477,1,,C
M0636,MARCA DE IMPUTAÇÃO NA V0636 1- Sim 2- Não,478,478,1,,C
M6362,MARCA DE IMPUTAÇÃO NA V6362 1- Sim 2- Não,479,479,1,,C
M6364,MARCA DE IMPUTAÇÃO NA V6364 1- Sim 2- Não,480,480,1,,C
M6366,MARCA DE IMPUTAÇÃO NA V6366 1- Sim 2- Não,481,481,1,,C
M0637,MARCA DE IMPUTAÇÃO NA V0637 1- Sim 2- Não,482,482,1,,C
M0638,MARCA DE IMPUTAÇÃO NA V0638 1- Sim 2- Não,483,483,1,,C
M0639,MARCA DE IMPUTAÇÃO NA V0639 1- Sim 2- Não,484,484,1,,C
M0640,MARCA DE IMPUTAÇÃO NA V0640 1- Sim 2- Não,485,485,1,,C
M0641,MARCA DE IMPUTAÇÃO NA V0641 1- Sim 2- Não,486,486,1,,C
M0642,MARCA DE IMPUTAÇÃO NA V0642 1- Sim 2- Não,487,487,1,,C
M0643,MARCA DE IMPUTAÇÃO NA V0643 1- Sim 2- Não,488,488,1,,C
M0644,MARCA DE IMPUTAÇÃO NA V0644 1- Sim 2- Não,489,489,1,,C
M0645,MARCA DE IMPUTAÇÃO NA V0645 1- Sim 2- Não,490,490,1,,C
M6461,MARCA DE IMPUTAÇÃO NA V6461 1- Sim 2- Não,491,491,1,,C
M6471,MARCA DE IMPUTAÇÃO NA V6471 1- Sim 2- Não,492,492,1,,C
M0648,MARCA DE IMPUTAÇÃO NA V0648 1- Sim 2- Não,493,493,1,,C
M0649,MARCA DE IMPUTAÇÃO NA V0649 1- Sim 2- Não,494,494,1,,C
M0650,MARCA DE IMPUTAÇÃO NA V0650 1- Sim 2- Não,495,495,1,,C
M0651,MARCA DE IMPUTAÇÃO NA V0651 1- Sim 2- Não,496,496,1,,C
M6511,MARCA DE IMPUTAÇÃO NA V6511 1- Sim 2- Não,497,497,1,,C
M0652,MARCA DE IMPUTAÇÃO NA V0652 1- Sim 2- Não,498,498,1,,C
M6521,MARCA DE IMPUTAÇÃO NA V6521 1- Sim 2- Não,499,499,1,,C
M0653,MARCA DE IMPUTAÇÃO NA V0653 1- Sim 2- Não,500,500,1,,C
M0654,MARCA DE IMPUTAÇÃO NA V0654 1- Sim 2- Não,501,501,1,,C
M0655,MARCA DE IMPUTAÇÃO NA V0655 1- Sim 2- Não,502,502,1,,C
M0656,MARCA DE IMPUTAÇÃO NA V0656 1- Sim 2- Não,503,503,1,,C
M0657,MARCA DE IMPUTAÇÃO NA V0657 1- Sim 2- Não,504,504,1,,C
M0658,MARCA DE IMPUTAÇÃO NA V0658 1- Sim 2- Não,505,505,1,,C
M0659,MARCA DE IMPUTAÇÃO NA V0659 1- Sim 2- Não,506,506,1,,C
M6591,MARCA DE IMPUTAÇÃO NA V6591 1- Sim 2- Não,507,507,1,,C
M0660,MARCA DE IMPUTAÇÃO NA V0660 1- Sim 2- Não,508,508,1,,C
M6602,MARCA DE IMPUTAÇÃO NA V6602 1- Sim 2- Não,509,509,1,,C
M6604,MARCA DE IMPUTAÇÃO NA V6604 1- Sim 2- Não,510,510,1,,C
M6606,MARCA DE IMPUTAÇÃO NA V6606 1- Sim 2- Não,511,511,1,,C
M0661,MARCA DE IMPUTAÇÃO NA V0661 1- Sim,512,512,1,,C
M0662,MARCA DE IMPUTAÇÃO NA V0662 1- Sim 2- Não,513,513,1,,C
M0663,MARCA DE IMPUTAÇÃO NA V0663 1- Sim 2- Não,514,514,1,,C
M6631,MARCA DE IMPUTAÇÃO NA V6631 1- Sim 2- Não,515,515,1,,C
M6632,MARCA DE IMPUTAÇÃO NA V6632 1- Sim 2- Não,516,516,1,,C
M6633,MARCA DE IMPUTAÇÃO NA V6633 1- Sim 2- Não,517,517,1,,C
M0664,MARCA DE IMPUTAÇÃO NA V0664 1- Sim 2- Não,518,518,1,,C
M6641,MARCA DE IMPUTAÇÃO NA V6641 1- Sim 2- Não,519,519,1,,C
M6642,MARCA DE IMPUTAÇÃO NA V6642 1- Sim 2- Não,520,520,1,,C
M6643,MARCA DE IMPUTAÇÃO NA V6643 1- Sim 2- Não,521,521,1,,C
M0665,MARCA DE IMPUTAÇÃO NA V0665 1- Sim 2- Não,522,522,1,,C
M6660,MARCA DE IMPUTAÇÃO NA V6660 1- Sim 2- Não,523,523,1,,C
M0667,MARCA DE IMPUTAÇÃO NA V0667 1- Sim 2- Não,524,524,1,,C
M0668,MARCA DE IMPUTAÇÃO NA V0668 1- Sim 2- Não,525,525,1,,C
M6681,MARCA DE IMPUTAÇÃO NA V6681 1- Sim 2- Não,526,526,1,,C
M6682,MARCA DE IMPUTAÇÃO NA V6682 1- Sim 2- Não,527,527,1,,C
M0669,MARCA DE IMPUTAÇÃO NA V0669 1- Sim 2- Não,528,528,1,,C
M6691,MARCA DE IMPUTAÇÃO NA V6691 1- Sim 2- Não,529,529,1,,C
M6692,MARCA DE IMPUTAÇÃO NA V6692 1- Sim 2- Não,530,530,1,,C
M6693,MARCA DE IMPUTAÇÃO NA V6693 1- Sim 2- Não,531,531,1,,C
M0670,MARCA DE IMPUTAÇÃO NA V0670 1- Sim 2- Não,532,532,1,,C
M0671,MARCA DE IMPUTAÇÃO NA V0671 1- Sim 2- Não,533,533,1,,C
M6800,MARCA DE IMPUTAÇÃO NA V6800 1- Sim 2- Não,534,534,1,,C
M6121,MARCA DE IMPUTAÇÃO NA V6121 1- Sim 2- Não,535,535,1,,C
M0604,MARCA DE IMPUTAÇÃO NA V0604 1- Sim 2- Não,536,536,1,,C
M0605,MARCA DE IMPUTAÇÃO NA V0605 1- Sim 2- Não,537,537,1,,C
M6462,MARCA DE IMPUTAÇÃO NA V6462 1- Sim 2- Não,538,538,1,,C
M6472,MARCA DE IMPUTAÇÃO NA V6472 1- Sim 2- Não,539,539,1,,C
V1005,Situação do setor 1 - Área urbanizada 2 - Área não urbanizada 3 - Área urbanizada isolada 4 - Área rural de extensão urbana 5 - Aglomerado rural (povoado) 6 - Aglomerado rural (núcleo) 7 - Aglomerado rural (outros) 8 - Área rural exclusive aglomerado rural  1- Masculino 2- Feminino,540,540,1,,C
